revenue_id,company_id,user_id,month,revenue_amount,is_recurring
REV-0000001,CTC-004,USR-000001,2023-01,69.69,False
REV-0000002,CTC-004,USR-000001,2023-02,288.53,True
REV-0000003,CTC-004,USR-000001,2023-03,247.96,True
REV-0000004,CTC-004,USR-000001,2023-04,168.13,True
REV-0000005,CTC-004,USR-000001,2023-05,323.44,True
REV-0000006,CTC-004,USR-000001,2023-06,328.96,True
REV-0000007,CTC-004,USR-000001,2023-07,273.34,True
REV-0000008,CTC-004,USR-000001,2023-08,301.02,True
REV-0000009,CTC-004,USR-000001,2023-09,118.41,True
REV-0000010,CTC-004,USR-000001,2023-10,66.4,True
REV-0000011,CTC-004,USR-000001,2023-11,150.35,True
REV-0000012,CTC-004,USR-000002,2023-01,311.86,False
REV-0000013,CTC-004,USR-000002,2023-02,174.52,True
REV-0000014,CTC-004,USR-000002,2023-03,277.56,True
REV-0000015,CTC-004,USR-000002,2023-04,171.21,True
REV-0000016,CTC-004,USR-000002,2023-05,239.3,True
REV-0000017,CTC-004,USR-000003,2023-01,285.16,False
REV-0000018,CTC-004,USR-000003,2023-02,88.32,True
REV-0000019,CTC-004,USR-000003,2023-03,146.45,True
REV-0000020,CTC-004,USR-000003,2023-04,142.44,True
REV-0000021,CTC-004,USR-000003,2023-05,130.83,True
REV-0000022,CTC-004,USR-000003,2023-06,115.33,True
REV-0000023,CTC-004,USR-000004,2023-01,145.7,False
REV-0000024,CTC-004,USR-000004,2023-02,303.72,True
REV-0000025,CTC-004,USR-000004,2023-03,96.82,True
REV-0000026,CTC-004,USR-000004,2023-04,183.63,True
REV-0000027,CTC-004,USR-000004,2023-05,191.92,True
REV-0000028,CTC-004,USR-000004,2023-06,281.92,True
REV-0000029,CTC-004,USR-000004,2023-07,227.31,True
REV-0000030,CTC-004,USR-000004,2023-08,121.84,True
REV-0000031,CTC-004,USR-000004,2023-09,235.23,True
REV-0000032,CTC-004,USR-000004,2023-10,222.13,True
REV-0000033,CTC-004,USR-000004,2023-11,226.06,True
REV-0000034,CTC-004,USR-000004,2023-12,259.86,True
REV-0000035,CTC-002,USR-000005,2023-01,111.99,False
REV-0000036,CTC-004,USR-000006,2023-01,87.11,False
REV-0000037,CTC-004,USR-000006,2023-02,110.32,True
REV-0000038,CTC-004,USR-000006,2023-03,151.12,True
REV-0000039,CTC-004,USR-000006,2023-04,268.41,True
REV-0000040,CTC-002,USR-000007,2023-01,64.86,False
REV-0000041,CTC-002,USR-000007,2023-02,135.97,True
REV-0000042,CTC-002,USR-000007,2023-03,35.32,True
REV-0000043,CTC-002,USR-000007,2023-04,96.28,True
REV-0000044,CTC-002,USR-000007,2023-05,57.71,True
REV-0000045,CTC-002,USR-000007,2023-06,158.71,True
REV-0000046,CTC-001,USR-000008,2023-01,161.58,False
REV-0000047,CTC-001,USR-000008,2023-02,149.71,True
REV-0000048,CTC-001,USR-000008,2023-03,120.55,True
REV-0000049,CTC-001,USR-000008,2023-04,159.6,True
REV-0000050,CTC-001,USR-000008,2023-05,201.05,True
REV-0000051,CTC-001,USR-000008,2023-06,236.94,True
REV-0000052,CTC-004,USR-000009,2023-01,141.9,False
REV-0000053,CTC-004,USR-000009,2023-02,107.51,True
REV-0000054,CTC-004,USR-000009,2023-03,142.31,True
REV-0000055,CTC-004,USR-000009,2023-04,87.38,True
REV-0000056,CTC-004,USR-000009,2023-05,223.48,True
REV-0000057,CTC-004,USR-000009,2023-06,77.49,True
REV-0000058,CTC-004,USR-000009,2023-07,258.35,True
REV-0000059,CTC-004,USR-000009,2023-08,282.05,True
REV-0000060,CTC-004,USR-000009,2023-08,263.83,True
REV-0000061,CTC-004,USR-000009,2023-09,191.56,True
REV-0000062,CTC-001,USR-000010,2023-01,195.84,False
REV-0000063,CTC-003,USR-000011,2023-01,312.45,False
REV-0000064,CTC-003,USR-000011,2023-02,280.99,True
REV-0000065,CTC-003,USR-000012,2023-01,101.0,False
REV-0000066,CTC-002,USR-000013,2023-01,109.05,False
REV-0000067,CTC-002,USR-000013,2023-02,87.05,True
REV-0000068,CTC-002,USR-000013,2023-03,145.68,True
REV-0000069,CTC-002,USR-000013,2023-04,153.51,True
REV-0000070,CTC-002,USR-000013,2023-05,64.03,True
REV-0000071,CTC-004,USR-000014,2023-01,314.04,False
REV-0000072,CTC-004,USR-000014,2023-02,225.14,True
REV-0000073,CTC-004,USR-000014,2023-03,185.72,True
REV-0000074,CTC-004,USR-000014,2023-04,157.61,True
REV-0000075,CTC-004,USR-000014,2023-05,189.46,True
REV-0000076,CTC-004,USR-000014,2023-06,289.31,True
REV-0000077,CTC-004,USR-000014,2023-07,324.82,True
REV-0000078,CTC-004,USR-000014,2023-08,139.64,True
REV-0000079,CTC-004,USR-000014,2023-09,282.89,True
REV-0000080,CTC-004,USR-000014,2023-10,316.72,True
REV-0000081,CTC-003,USR-000015,2023-01,399.2,False
REV-0000082,CTC-003,USR-000015,2023-02,129.15,True
REV-0000083,CTC-002,USR-000016,2023-01,70.65,False
REV-0000084,CTC-002,USR-000016,2023-02,73.23,True
REV-0000085,CTC-004,USR-000017,2023-01,322.2,False
REV-0000086,CTC-003,USR-000018,2023-01,248.86,False
REV-0000087,CTC-003,USR-000018,2023-02,125.69,True
REV-0000088,CTC-003,USR-000018,2023-03,194.4,True
REV-0000089,CTC-003,USR-000018,2023-04,150.68,True
REV-0000090,CTC-003,USR-000018,2023-05,353.84,True
REV-0000091,CTC-003,USR-000018,2023-06,167.17,True
REV-0000092,CTC-002,USR-000019,2023-01,53.02,False
REV-0000093,CTC-002,USR-000019,2023-02,80.26,True
REV-0000094,CTC-002,USR-000019,2023-03,39.81,True
REV-0000095,CTC-002,USR-000019,2023-04,117.92,True
REV-0000096,CTC-002,USR-000019,2023-05,94.77,True
REV-0000097,CTC-002,USR-000019,2023-06,97.41,True
REV-0000098,CTC-002,USR-000019,2023-07,93.45,True
REV-0000099,CTC-002,USR-000019,2023-08,108.14,True
REV-0000100,CTC-003,USR-000020,2023-01,267.58,False
REV-0000101,CTC-003,USR-000020,2023-02,286.2,True
REV-0000102,CTC-003,USR-000020,2023-03,329.44,True
REV-0000103,CTC-003,USR-000020,2023-04,97.14,True
REV-0000104,CTC-004,USR-000021,2023-01,279.41,False
REV-0000105,CTC-004,USR-000021,2023-02,97.32,True
REV-0000106,CTC-004,USR-000021,2023-03,290.12,True
REV-0000107,CTC-004,USR-000021,2023-04,214.95,True
REV-0000108,CTC-002,USR-000022,2023-01,167.34,False
REV-0000109,CTC-002,USR-000022,2023-02,93.59,True
REV-0000110,CTC-002,USR-000022,2023-03,129.09,True
REV-0000111,CTC-002,USR-000022,2023-04,83.66,True
REV-0000112,CTC-002,USR-000022,2023-05,62.06,True
REV-0000113,CTC-002,USR-000022,2023-06,161.56,True
REV-0000114,CTC-002,USR-000022,2023-07,148.4,True
REV-0000115,CTC-002,USR-000022,2023-08,101.84,True
REV-0000116,CTC-002,USR-000022,2023-09,102.5,True
REV-0000117,CTC-002,USR-000022,2023-10,96.34,True
REV-0000118,CTC-002,USR-000022,2023-11,56.09,True
REV-0000119,CTC-002,USR-000022,2023-12,65.47,True
REV-0000120,CTC-004,USR-000023,2023-01,203.6,False
REV-0000121,CTC-004,USR-000023,2023-02,262.79,True
REV-0000122,CTC-004,USR-000023,2023-03,216.83,True
REV-0000123,CTC-004,USR-000023,2023-04,88.04,True
REV-0000124,CTC-004,USR-000023,2023-05,140.75,True
REV-0000125,CTC-004,USR-000023,2023-06,128.27,True
REV-0000126,CTC-004,USR-000023,2023-07,142.44,True
REV-0000127,CTC-004,USR-000023,2023-08,250.59,True
REV-0000128,CTC-004,USR-000024,2023-01,231.17,False
REV-0000129,CTC-004,USR-000024,2023-02,298.2,True
REV-0000130,CTC-004,USR-000024,2023-03,96.87,True
REV-0000131,CTC-004,USR-000024,2023-04,168.18,True
REV-0000132,CTC-004,USR-000024,2023-05,265.17,True
REV-0000133,CTC-004,USR-000024,2023-06,259.42,True
REV-0000134,CTC-004,USR-000024,2023-07,88.18,True
REV-0000135,CTC-004,USR-000025,2023-01,325.11,False
REV-0000136,CTC-004,USR-000025,2023-02,157.07,True
REV-0000137,CTC-004,USR-000025,2023-03,163.99,True
REV-0000138,CTC-004,USR-000025,2023-04,292.09,True
REV-0000139,CTC-001,USR-000026,2023-01,202.09,False
REV-0000140,CTC-001,USR-000026,2023-02,137.6,True
REV-0000141,CTC-001,USR-000026,2023-03,174.63,True
REV-0000142,CTC-001,USR-000026,2023-04,215.46,True
REV-0000143,CTC-001,USR-000026,2023-05,148.4,True
REV-0000144,CTC-001,USR-000026,2023-06,77.85,True
REV-0000145,CTC-001,USR-000026,2023-07,113.48,True
REV-0000146,CTC-001,USR-000026,2023-07,174.16,True
REV-0000147,CTC-001,USR-000026,2023-08,224.07,True
REV-0000148,CTC-001,USR-000026,2023-09,144.87,True
REV-0000149,CTC-001,USR-000026,2023-10,57.47,True
REV-0000150,CTC-001,USR-000026,2023-11,218.64,True
REV-0000151,CTC-003,USR-000027,2023-01,399.56,False
REV-0000152,CTC-003,USR-000027,2023-02,109.27,True
REV-0000153,CTC-003,USR-000027,2023-03,334.19,True
REV-0000154,CTC-003,USR-000027,2023-04,123.34,True
REV-0000155,CTC-003,USR-000027,2023-05,211.72,True
REV-0000156,CTC-003,USR-000027,2023-06,175.21,True
REV-0000157,CTC-003,USR-000027,2023-07,102.69,True
REV-0000158,CTC-002,USR-000028,2023-01,82.95,False
REV-0000159,CTC-002,USR-000028,2023-02,86.71,True
REV-0000160,CTC-002,USR-000028,2023-03,116.92,True
REV-0000161,CTC-002,USR-000028,2023-04,106.93,True
REV-0000162,CTC-002,USR-000028,2023-05,41.21,True
REV-0000163,CTC-002,USR-000028,2023-06,79.65,True
REV-0000164,CTC-002,USR-000028,2023-07,154.41,True
REV-0000165,CTC-002,USR-000028,2023-08,89.68,True
REV-0000166,CTC-002,USR-000028,2023-09,104.36,True
REV-0000167,CTC-002,USR-000028,2023-10,45.22,True
REV-0000168,CTC-003,USR-000029,2023-01,210.35,False
REV-0000169,CTC-002,USR-000030,2023-01,169.78,False
REV-0000170,CTC-004,USR-000031,2023-01,291.21,False
REV-0000171,CTC-004,USR-000032,2023-01,98.49,False
REV-0000172,CTC-004,USR-000032,2023-02,212.25,True
REV-0000173,CTC-004,USR-000032,2023-03,88.9,True
REV-0000174,CTC-004,USR-000032,2023-04,100.3,True
REV-0000175,CTC-004,USR-000032,2023-05,113.17,True
REV-0000176,CTC-001,USR-000033,2023-01,136.23,False
REV-0000177,CTC-002,USR-000034,2023-01,47.95,False
REV-0000178,CTC-002,USR-000034,2023-02,118.91,True
REV-0000179,CTC-002,USR-000034,2023-03,86.18,True
REV-0000180,CTC-002,USR-000034,2023-04,71.79,True
REV-0000181,CTC-002,USR-000034,2023-05,49.32,True
REV-0000182,CTC-002,USR-000034,2023-06,37.31,True
REV-0000183,CTC-002,USR-000034,2023-07,74.7,True
REV-0000184,CTC-002,USR-000034,2023-08,145.11,True
REV-0000185,CTC-002,USR-000034,2023-09,133.08,True
REV-0000186,CTC-002,USR-000034,2023-10,98.8,True
REV-0000187,CTC-002,USR-000034,2023-11,92.3,True
REV-0000188,CTC-003,USR-000035,2023-01,228.27,False
REV-0000189,CTC-003,USR-000035,2023-02,146.65,True
REV-0000190,CTC-003,USR-000035,2023-03,106.49,True
REV-0000191,CTC-003,USR-000035,2023-04,223.93,True
REV-0000192,CTC-003,USR-000035,2023-05,403.93,True
REV-0000193,CTC-003,USR-000035,2023-06,93.9,True
REV-0000194,CTC-002,USR-000036,2023-01,62.68,False
REV-0000195,CTC-002,USR-000036,2023-02,35.42,True
